Time,Temp. (Degree Celcius)
16-Jul-2017 12:00 am to 16-Jul-2017 01:00 am,28.58
16-Jul-2017 01:00 am to 16-Jul-2017 02:00 am,29.25
16-Jul-2017 02:00 am to 16-Jul-2017 03:00 am,29.1
16-Jul-2017 03:00 am to 16-Jul-2017 04:00 am,28.96
16-Jul-2017 04:00 am to 16-Jul-2017 05:00 am,28.73
16-Jul-2017 05:00 am to 16-Jul-2017 06:00 am,28.47
16-Jul-2017 06:00 am to 16-Jul-2017 07:00 am,28.96
16-Jul-2017 07:00 am to 16-Jul-2017 08:00 am,29.43
16-Jul-2017 08:00 am to 16-Jul-2017 09:00 am,30.65
16-Jul-2017 09:00 am to 16-Jul-2017 10:00 am,31.46
16-Jul-2017 10:00 am to 16-Jul-2017 11:00 am,32.33
16-Jul-2017 11:00 am to 16-Jul-2017 12:00 pm,33.18
16-Jul-2017 12:00 pm to 16-Jul-2017 01:00 pm,30.44
16-Jul-2017 01:00 pm to 16-Jul-2017 02:00 pm,35.06
16-Jul-2017 02:00 pm to 16-Jul-2017 03:00 pm,36.51
16-Jul-2017 03:00 pm to 16-Jul-2017 04:00 pm,34.81
16-Jul-2017 04:00 pm to 16-Jul-2017 05:00 pm,29.49
16-Jul-2017 05:00 pm to 16-Jul-2017 06:00 pm,26.83
16-Jul-2017 06:00 pm to 16-Jul-2017 07:00 pm,27.76
16-Jul-2017 07:00 pm to 16-Jul-2017 08:00 pm,27.9
16-Jul-2017 08:00 pm to 16-Jul-2017 09:00 pm,28.23
16-Jul-2017 09:00 pm to 16-Jul-2017 10:00 pm,28.49
16-Jul-2017 10:00 pm to 16-Jul-2017 11:00 pm,27.89
16-Jul-2017 11:00 pm to 17-Jul-2017 12:00 am,27.89
17-Jul-2017 12:00 am to 17-Jul-2017 01:00 am,27.31
17-Jul-2017 01:00 am to 17-Jul-2017 02:00 am,27.31
17-Jul-2017 02:00 am to 17-Jul-2017 03:00 am,27.27
17-Jul-2017 03:00 am to 17-Jul-2017 04:00 am,27.9
17-Jul-2017 04:00 am to 17-Jul-2017 05:00 am,28.06
17-Jul-2017 05:00 am to 17-Jul-2017 06:00 am,28.21
17-Jul-2017 06:00 am to 17-Jul-2017 07:00 am,28.93
17-Jul-2017 07:00 am to 17-Jul-2017 08:00 am,29.94
17-Jul-2017 08:00 am to 17-Jul-2017 09:00 am,30.62
17-Jul-2017 09:00 am to 17-Jul-2017 10:00 am,29.95
17-Jul-2017 10:00 am to 17-Jul-2017 11:00 am,29.79
17-Jul-2017 11:00 am to 17-Jul-2017 12:00 pm,30.13
17-Jul-2017 12:00 pm to 17-Jul-2017 01:00 pm,30.73
17-Jul-2017 01:00 pm to 17-Jul-2017 02:00 pm,28.95
17-Jul-2017 02:00 pm to 17-Jul-2017 03:00 pm,29.37
17-Jul-2017 03:00 pm to 17-Jul-2017 04:00 pm,30.02
17-Jul-2017 04:00 pm to 17-Jul-2017 05:00 pm,29.84
17-Jul-2017 05:00 pm to 17-Jul-2017 06:00 pm,29.69
17-Jul-2017 06:00 pm to 17-Jul-2017 07:00 pm,30.81
17-Jul-2017 07:00 pm to 17-Jul-2017 08:00 pm,28.49
17-Jul-2017 08:00 pm to 17-Jul-2017 09:00 pm,28.96
17-Jul-2017 09:00 pm to 17-Jul-2017 10:00 pm,29.03
17-Jul-2017 10:00 pm to 17-Jul-2017 11:00 pm,29.2
17-Jul-2017 11:00 pm to 18-Jul-2017 12:00 am,28.59
18-Jul-2017 12:00 am to 18-Jul-2017 01:00 am,28.41
18-Jul-2017 01:00 am to 18-Jul-2017 02:00 am,28.14
18-Jul-2017 02:00 am to 18-Jul-2017 03:00 am,28.05
18-Jul-2017 03:00 am to 18-Jul-2017 04:00 am,27.86
18-Jul-2017 04:00 am to 18-Jul-2017 05:00 am,28.13
18-Jul-2017 05:00 am to 18-Jul-2017 06:00 am,26.98
18-Jul-2017 06:00 am to 18-Jul-2017 07:00 am,27.03
18-Jul-2017 07:00 am to 18-Jul-2017 08:00 am,26.98
18-Jul-2017 08:00 am to 18-Jul-2017 09:00 am,27.17
18-Jul-2017 09:00 am to 18-Jul-2017 10:00 am,27.52
18-Jul-2017 10:00 am to 18-Jul-2017 11:00 am,28.04
18-Jul-2017 11:00 am to 18-Jul-2017 12:00 pm,29.66
18-Jul-2017 12:00 pm to 18-Jul-2017 01:00 pm,29.8
18-Jul-2017 01:00 pm to 18-Jul-2017 02:00 pm,28.34
18-Jul-2017 02:00 pm to 18-Jul-2017 03:00 pm,29.77
18-Jul-2017 03:00 pm to 18-Jul-2017 04:00 pm,30.54
18-Jul-2017 04:00 pm to 18-Jul-2017 05:00 pm,30.2
18-Jul-2017 05:00 pm to 18-Jul-2017 06:00 pm,29.8
18-Jul-2017 06:00 pm to 18-Jul-2017 07:00 pm,29.49
18-Jul-2017 07:00 pm to 18-Jul-2017 08:00 pm,28.71
18-Jul-2017 08:00 pm to 18-Jul-2017 09:00 pm,28.42
18-Jul-2017 09:00 pm to 18-Jul-2017 10:00 pm,28.44
18-Jul-2017 10:00 pm to 18-Jul-2017 11:00 pm,27.83
18-Jul-2017 11:00 pm to 19-Jul-2017 12:00 am,28.05
19-Jul-2017 12:00 am to 19-Jul-2017 01:00 am,27.34
19-Jul-2017 01:00 am to 19-Jul-2017 02:00 am,27.61
19-Jul-2017 02:00 am to 19-Jul-2017 03:00 am,27.05
19-Jul-2017 03:00 am to 19-Jul-2017 04:00 am,27.25
19-Jul-2017 04:00 am to 19-Jul-2017 05:00 am,27.2
19-Jul-2017 05:00 am to 19-Jul-2017 06:00 am,27.05
19-Jul-2017 06:00 am to 19-Jul-2017 07:00 am,27
19-Jul-2017 07:00 am to 19-Jul-2017 08:00 am,27.48
19-Jul-2017 08:00 am to 19-Jul-2017 09:00 am,27.81
19-Jul-2017 09:00 am to 19-Jul-2017 10:00 am,28.4
19-Jul-2017 10:00 am to 19-Jul-2017 11:00 am,30.69
19-Jul-2017 11:00 am to 19-Jul-2017 12:00 pm,31.89
19-Jul-2017 12:00 pm to 19-Jul-2017 01:00 pm,31.62
19-Jul-2017 01:00 pm to 19-Jul-2017 02:00 pm,30.8
19-Jul-2017 02:00 pm to 19-Jul-2017 03:00 pm,31.78
19-Jul-2017 03:00 pm to 19-Jul-2017 04:00 pm,31.45
19-Jul-2017 04:00 pm to 19-Jul-2017 05:00 pm,29.9
19-Jul-2017 05:00 pm to 19-Jul-2017 06:00 pm,29.08
19-Jul-2017 06:00 pm to 19-Jul-2017 07:00 pm,29.24
19-Jul-2017 07:00 pm to 19-Jul-2017 08:00 pm,29.52
19-Jul-2017 08:00 pm to 19-Jul-2017 09:00 pm,29.69
19-Jul-2017 09:00 pm to 19-Jul-2017 10:00 pm,30.07
19-Jul-2017 10:00 pm to 19-Jul-2017 11:00 pm,29.76
19-Jul-2017 11:00 pm to 20-Jul-2017 12:00 am,29.65
20-Jul-2017 12:00 am to 20-Jul-2017 01:00 am,29.19
20-Jul-2017 01:00 am to 20-Jul-2017 02:00 am,28.69
20-Jul-2017 02:00 am to 20-Jul-2017 03:00 am,29.08
20-Jul-2017 03:00 am to 20-Jul-2017 04:00 am,28.96
20-Jul-2017 04:00 am to 20-Jul-2017 05:00 am,28.49
20-Jul-2017 05:00 am to 20-Jul-2017 06:00 am,28.4
20-Jul-2017 06:00 am to 20-Jul-2017 07:00 am,28.56
20-Jul-2017 07:00 am to 20-Jul-2017 08:00 am,29.71
20-Jul-2017 08:00 am to 20-Jul-2017 09:00 am,31.61
20-Jul-2017 09:00 am to 20-Jul-2017 10:00 am,32.52
20-Jul-2017 10:00 am to 20-Jul-2017 11:00 am,33.04
20-Jul-2017 11:00 am to 20-Jul-2017 12:00 pm,33.44
20-Jul-2017 12:00 pm to 20-Jul-2017 01:00 pm,33.46
20-Jul-2017 01:00 pm to 20-Jul-2017 02:00 pm,34.31
20-Jul-2017 02:00 pm to 20-Jul-2017 03:00 pm,34.41
20-Jul-2017 03:00 pm to 20-Jul-2017 04:00 pm,34.63
20-Jul-2017 04:00 pm to 20-Jul-2017 05:00 pm,34.12
20-Jul-2017 05:00 pm to 20-Jul-2017 06:00 pm,33.04
20-Jul-2017 06:00 pm to 20-Jul-2017 07:00 pm,31.08
20-Jul-2017 07:00 pm to 20-Jul-2017 08:00 pm,30.83
20-Jul-2017 08:00 pm to 20-Jul-2017 09:00 pm,30.48
20-Jul-2017 09:00 pm to 20-Jul-2017 10:00 pm,29.77
20-Jul-2017 10:00 pm to 20-Jul-2017 11:00 pm,29.94
20-Jul-2017 11:00 pm to 21-Jul-2017 12:00 am,29.71
21-Jul-2017 12:00 am to 21-Jul-2017 01:00 am,29.64
21-Jul-2017 01:00 am to 21-Jul-2017 02:00 am,29.12
21-Jul-2017 02:00 am to 21-Jul-2017 03:00 am,28.86
21-Jul-2017 03:00 am to 21-Jul-2017 04:00 am,28.68
21-Jul-2017 04:00 am to 21-Jul-2017 05:00 am,28.83
21-Jul-2017 05:00 am to 21-Jul-2017 06:00 am,28.91
21-Jul-2017 06:00 am to 21-Jul-2017 07:00 am,29.24
21-Jul-2017 07:00 am to 21-Jul-2017 08:00 am,30.48
21-Jul-2017 08:00 am to 21-Jul-2017 09:00 am,32.7
21-Jul-2017 09:00 am to 21-Jul-2017 10:00 am,34.36
21-Jul-2017 10:00 am to 21-Jul-2017 11:00 am,34.43
21-Jul-2017 11:00 am to 21-Jul-2017 12:00 pm,35.41
21-Jul-2017 12:00 pm to 21-Jul-2017 01:00 pm,36.25
21-Jul-2017 01:00 pm to 21-Jul-2017 02:00 pm,35.39
21-Jul-2017 02:00 pm to 21-Jul-2017 03:00 pm,35.49
21-Jul-2017 03:00 pm to 21-Jul-2017 04:00 pm,35.09
21-Jul-2017 04:00 pm to 21-Jul-2017 05:00 pm,34.82
21-Jul-2017 05:00 pm to 21-Jul-2017 06:00 pm,34.19
21-Jul-2017 06:00 pm to 21-Jul-2017 07:00 pm,33.23
21-Jul-2017 07:00 pm to 21-Jul-2017 08:00 pm,31.93
21-Jul-2017 08:00 pm to 21-Jul-2017 09:00 pm,32.47
21-Jul-2017 09:00 pm to 21-Jul-2017 10:00 pm,32.39
21-Jul-2017 10:00 pm to 21-Jul-2017 11:00 pm,31.87
21-Jul-2017 11:00 pm to 22-Jul-2017 12:00 am,31.19
22-Jul-2017 12:00 am to 22-Jul-2017 01:00 am,31.25
22-Jul-2017 01:00 am to 22-Jul-2017 02:00 am,31.09
22-Jul-2017 02:00 am to 22-Jul-2017 03:00 am,30.91
22-Jul-2017 03:00 am to 22-Jul-2017 04:00 am,31.18
22-Jul-2017 04:00 am to 22-Jul-2017 05:00 am,31.54
22-Jul-2017 05:00 am to 22-Jul-2017 06:00 am,30.48
22-Jul-2017 06:00 am to 22-Jul-2017 07:00 am,29.78
22-Jul-2017 07:00 am to 22-Jul-2017 08:00 am,29.7
22-Jul-2017 08:00 am to 22-Jul-2017 09:00 am,29.96
22-Jul-2017 09:00 am to 22-Jul-2017 10:00 am,29.96
22-Jul-2017 10:00 am to 22-Jul-2017 11:00 am,29.33
22-Jul-2017 11:00 am to 22-Jul-2017 12:00 pm,32.37
22-Jul-2017 12:00 pm to 22-Jul-2017 01:00 pm,32.95
22-Jul-2017 01:00 pm to 22-Jul-2017 02:00 pm,34.13
22-Jul-2017 02:00 pm to 22-Jul-2017 03:00 pm,34.62
22-Jul-2017 03:00 pm to 22-Jul-2017 04:00 pm,34.79
22-Jul-2017 04:00 pm to 22-Jul-2017 05:00 pm,33.04
22-Jul-2017 05:00 pm to 22-Jul-2017 06:00 pm,30.46
22-Jul-2017 06:00 pm to 22-Jul-2017 07:00 pm,29.82
22-Jul-2017 07:00 pm to 22-Jul-2017 08:00 pm,29.54
22-Jul-2017 08:00 pm to 22-Jul-2017 09:00 pm,30.03
22-Jul-2017 09:00 pm to 22-Jul-2017 10:00 pm,29.68
22-Jul-2017 10:00 pm to 22-Jul-2017 11:00 pm,29.48
22-Jul-2017 11:00 pm to 23-Jul-2017 12:00 am,29.41
23-Jul-2017 12:00 am to 23-Jul-2017 01:00 am,29.15
23-Jul-2017 01:00 am to 23-Jul-2017 02:00 am,29.04
23-Jul-2017 02:00 am to 23-Jul-2017 03:00 am,28.41
23-Jul-2017 03:00 am to 23-Jul-2017 04:00 am,28.44
23-Jul-2017 04:00 am to 23-Jul-2017 05:00 am,28.49
23-Jul-2017 05:00 am to 23-Jul-2017 06:00 am,28.65
23-Jul-2017 06:00 am to 23-Jul-2017 07:00 am,28.74
23-Jul-2017 07:00 am to 23-Jul-2017 08:00 am,27.84
23-Jul-2017 08:00 am to 23-Jul-2017 09:00 am,27.17
23-Jul-2017 09:00 am to 23-Jul-2017 10:00 am,27.97
23-Jul-2017 10:00 am to 23-Jul-2017 11:00 am,27.91
23-Jul-2017 11:00 am to 23-Jul-2017 12:00 pm,28.48
23-Jul-2017 12:00 pm to 23-Jul-2017 01:00 pm,28.39
23-Jul-2017 01:00 pm to 23-Jul-2017 02:00 pm,29.02
23-Jul-2017 02:00 pm to 23-Jul-2017 03:00 pm,29.66
23-Jul-2017 03:00 pm to 23-Jul-2017 04:00 pm,29.96
23-Jul-2017 04:00 pm to 23-Jul-2017 05:00 pm,30.33
23-Jul-2017 05:00 pm to 23-Jul-2017 06:00 pm,29.61
23-Jul-2017 06:00 pm to 23-Jul-2017 07:00 pm,29.13
23-Jul-2017 07:00 pm to 23-Jul-2017 08:00 pm,28.9
23-Jul-2017 08:00 pm to 23-Jul-2017 09:00 pm,28.94
23-Jul-2017 09:00 pm to 23-Jul-2017 10:00 pm,28.91
23-Jul-2017 10:00 pm to 23-Jul-2017 11:00 pm,28.79
23-Jul-2017 11:00 pm to 24-Jul-2017 12:00 am,29
24-Jul-2017 12:00 am to 24-Jul-2017 01:00 am,29.02
24-Jul-2017 01:00 am to 24-Jul-2017 02:00 am,28.16
24-Jul-2017 02:00 am to 24-Jul-2017 03:00 am,29.32
24-Jul-2017 03:00 am to 24-Jul-2017 04:00 am,28.35
24-Jul-2017 04:00 am to 24-Jul-2017 05:00 am,28.86
24-Jul-2017 05:00 am to 24-Jul-2017 06:00 am,27.69
24-Jul-2017 06:00 am to 24-Jul-2017 07:00 am,27.98
24-Jul-2017 07:00 am to 24-Jul-2017 08:00 am,28.36
24-Jul-2017 08:00 am to 24-Jul-2017 09:00 am,28.33
24-Jul-2017 09:00 am to 24-Jul-2017 10:00 am,28.7
24-Jul-2017 10:00 am to 24-Jul-2017 11:00 am,28.83
24-Jul-2017 11:00 am to 24-Jul-2017 12:00 pm,28.69
24-Jul-2017 12:00 pm to 24-Jul-2017 01:00 pm,28.67
24-Jul-2017 01:00 pm to 24-Jul-2017 02:00 pm,28.49
24-Jul-2017 02:00 pm to 24-Jul-2017 03:00 pm,28.86
24-Jul-2017 03:00 pm to 24-Jul-2017 04:00 pm,29.04
24-Jul-2017 04:00 pm to 24-Jul-2017 05:00 pm,28.7
24-Jul-2017 05:00 pm to 24-Jul-2017 06:00 pm,28.81
24-Jul-2017 06:00 pm to 24-Jul-2017 07:00 pm,28.63
24-Jul-2017 07:00 pm to 24-Jul-2017 08:00 pm,28.58
24-Jul-2017 08:00 pm to 24-Jul-2017 09:00 pm,28.52
24-Jul-2017 09:00 pm to 24-Jul-2017 10:00 pm,28.11
24-Jul-2017 10:00 pm to 24-Jul-2017 11:00 pm,28.5
